Code,Name,Costing Method,Sales account,Don't delete
0005500474207,RIM R4L 15W40 CK4_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500488303,SPIRAX S1 ATF TASA_1L_A752,FIFO,Sales Shoc+,5200300
0005500499590,HELIXHM10W40SNCFA3B3_1L_A685,FIFO,Sales Shoc+,5200300
0005500501132,HELIXULTRAD5W40CF_6L_A753,FIFO,Sales Shoc+,5200300
0005500501156,HELIXHX5D15W40B3_6L_A753,FIFO,Sales Shoc+,5200300
0005500501163,HELIXHX8SYND5W30_6L_A753,FIFO,Sales Shoc+,5200300
0005500502641,HELIXHM10W40SNCFA3B3_4L_A75,FIFO,Sales Shoc+,5200300
0005500509589,RIMR4X15W40CI4E7DH1_6L_A236,FIFO,Sales Shoc+,5200300
0005500511872,HELIXULTX5W30_SNPLUS_4L_A753,FIFO,Sales Shoc+,5200300
0005500514545,HELIXHX7_5W40SN+A3B4_1L_A685,FIFO,Sales Shoc+,5200300
0005500514576,HELIXHX8_5W40SN+_1L_A685,FIFO,Sales Shoc+,5200300
0005500514590,HELIXHX515W40SN+A3B3_1L_A685,FIFO,Sales Shoc+,5200300
0005500514620,HLXULTRA0W40SN+A3B4_1L_A685,FIFO,Sales Shoc+,5200300
0005500514637,HLXULTRA0W40SN+A3B4_4L_A753,FIFO,Sales Shoc+,5200300
0005500518307,HELIXULTX5W30_SNPLUS_1L_A685,FIFO,Sales Shoc+,5200300
0005500518406,HELIXHX7_5W40SN+A3B4_4L_A753,FIFO,Sales Shoc+,5200300
0005500518420,HELIXHX8_5W40SN+_4L_A753,FIFO,Sales Shoc+,5200300
0005500518444,HELIXHX515W40SN+A3B3_4L_A753,FIFO,Sales Shoc+,5200300
0005500521772,RIMR1MULTI20W40CCSC_1L_A685,FIFO,Sales Shoc+,5200300
0005500521789,RIMR1MULTI20W40CCSC_4L_A685,FIFO,Sales Shoc+,5200300
0005500521987,ADVAN4TAX320W40SGMA_0.8L_A753,FIFO,Sales Shoc+,5200300
0005500522069,ADVANC4TAX515W40SLMA_0.8L_A753,FIFO,Sales Shoc+,5200300
0005500522083,ADVAN4TULT10W40SNMA2_1L_A753,FIFO,Sales Shoc+,5200300
0005500522090,ADVAN4TULT15W50SNMA2_1L_A753,FIFO,Sales Shoc+,5200300
0005500522403,ADVAN4TAX710W40SMMA2_1L_A753,FIFO,Sales Shoc+,5200300
0005500522632,RIMR1MULTI20W40CCSC_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500525244,ADVAN4TAX320W40SGMA_1L_A753,FIFO,Sales Shoc+,5200300
0005500525909,RIMLD5LOWASH10W40CK4_1L_A685,FIFO,Sales Shoc+,5200300
0005500525916,RIMLD5LOWASH10W40CK4_1*7.5L_A685,FIFO,Sales Shoc+,5200300
0005500533355,HELIX HX7D 1L,FIFO,Sales Shoc+,5200300
0005500533379,HLXHX7D10W-30 (CI-4)_6L_A753,FIFO,Sales Shoc+,5200300
0006,Pearl,FIFO,Sales Chatime,5200500
0007,GrJelly,FIFO,Sales Chatime,5200500
0008,Pudding,FIFO,Sales Chatime,5200500
0009,Mousse,FIFO,Sales Chatime,5200500
0010,Coffee Jelly,FIFO,Sales Chatime,5200500
0011,CCNut Jelly,FIFO,Sales Chatime,5200500
0012,Rnbow Jelly,FIFO,Sales Chatime,5200500
0013,Red Bean,FIFO,Sales Chatime,5200500
0014,Aloe Vera,FIFO,Sales Chatime,5200500
0014800925340,MOTT'S  CAN 340ml,FIFO,Sales Select,5200200
00249150,PBA 022,FIFO,Sales Shoc+,5200300
0028400008624,SMARTFOOD WHITE CHEDDAR POPCORN 5.5 OZ,FIFO,Sales Select,5200200
0028400025409,CHEETOS PUFFS 9OZ,FIFO,Sales Select,5200200
00358810000,RAIN HARRY TIRE BLACK 100ML,FIFO,Sales Shoc+,5200300
003588100001,RAIN HARRY TIRE BLACK 8.2OZ,FIFO,Sales Shoc+,5200300
0037600130783,SPAM LUNCHEON MEAT REGULAR 340G,FIFO,Sales Select,5200200
0038008449804,PRINGLES CHEESE 169G,FIFO,Sales Select,5200200
0040000514206,TWIX COOKIE BARS 50.7G,FIFO,Sales Select,5200200
0050515031044,SKYFLAKES CONDENSADA,FIFO,Sales Select,5200200
0052100056227,MCCORMICK IODIZED SALT 140G,FIFO,Sales Select,5200200
0054028367911,YAKULT 1 PACK,FIFO,Sales Select,5200200
005500257350,ADVANCE SX2 2T 0.2L,FIFO,Sales Shoc+,5200300
005500443616,R4X PAIL 20L,FIFO,Sales Shoc+,5200300
0067238891183,DOVE BEAUTY BAR SOAP PINK 100G,FIFO,Sales Select,5200200
0070612100405,ARMOR ALL PROTECTANT ORIGINAL 118ML,FIFO,Sales Shoc+,5200300
0070662087237,NISSIN CHOW MIEN TERIYAKI BEEF 4OZ,FIFO,Sales Select,5200200
0073390000127,MENTOS SPEARMINT 37.5G,FIFO,Sales Select,5200200
0074603005212,SAMYANG RAMEN SPICY 120G,FIFO,Sales Select,5200200
0074923405273,PIK-NIK SHOESTRING ORIGINAL 9OZ,FIFO,Sales Select,5200200
0076171178893,LITTLE TR NW CAR 30G,FIFO,Sales Shoc+,5200300
0077330578370,ROYAL DANSK LUXURY WAFERS CHOCOLATE CREME 350G,FIFO,Sales Select,5200200
0079567850038,WD-40 100ML,FIFO,Sales Shoc+,5200300
008200006259,HELIX HIGH MILEAGE 1,FIFO,Sales Shoc+,5200300
0082184090442,JACK DANIEL'S OLD NO. 7 TSM WHISKY 1L,FIFO,Sales Select,5200200
0085000001868,CARLO ROSSI CALIFORNIA WHITE CRISP WHITE WINE 750M,FIFO,Sales Select,5200200
0085000001882,CARLO ROSSI CALIFORNIA RED WINE 750ML,FIFO,Sales Select,5200200
0085000006986,CARLO ROSSI CALIFORNIA RED 1.5L,FIFO,Sales Select,5200200
0085000016695,CARLO ROSSI SANGRIA 750ML,FIFO,Sales Select,5200200
0085000019849,CARLO ROSSI SWEET RED 750ML,FIFO,Sales Select,5200200
00885000626517,COLGATE TB TWISTER W,FIFO,Sales Select,5200200
0098426701755,MARIA CLARA SANGRIA 750ML,FIFO,Sales Select,5200200
0098426801707,EL HOMBRE TEQUILA GOLD 700ML,FIFO,Sales Select,5200200
010900300131,REYNOLDS WRAP ALU FOIL 5M,FIFO,Sales Select,5200200
010900300827,DIAMOND ALUMINUM FOIL 8M,FIFO,Sales Select,5200200
0125,GJ w/ fresh milk-(R),FIFO,Sales Chatime,5200500
012500003146,LIBBY'S CORNED BEEF 340G,FIFO,Sales Select,5200200
012546011136,TRIDENT WATERMELON TWIST 1 PACK,FIFO,Sales Select,5200200
0126,GJ w/ fresh milk-(L),FIFO,Sales Chatime,5200500
014285000068,UFC BANANA CATSUP 320G,FIFO,Sales Select,5200200
014285000075,UFC BANANA CATSUP 550G,FIFO,Sales Select,5200200
014800000344,MOTTS 100% JUICE APPLE 1.9L,FIFO,Sales Select,5200200
014800002294,MOTT'S APPLE JUICE 240ML,FIFO,Sales Select,5200200
014800316650,MOTT'S APPLE JUICE 2.54L,FIFO,Sales Select,5200200
014800925173,MOTT APPLJCE340MLX24,FIFO,Sales Select,5200200
0158,Black Tea Latte-(R),FIFO,Sales Chatime,5200500
0159,Black Tea Latte-(L),FIFO,Sales Chatime,5200500
016000008403,LUCKY ME BULALO,FIFO,Sales Select,5200200
0166,Matcha Tea Latte-(R),FIFO,Sales Chatime,5200500
0167,Matcha Tea Latte-(L),FIFO,Sales Chatime,5200500
0185,Chocolate MS-(R),FIFO,Sales Chatime,5200500
0186,Chocolate MS-(L),FIFO,Sales Chatime,5200500
0193,Oolong Tea-(L),FIFO,Sales Chatime,5200500
0197,Ichiban Roasted Tea-(L),FIFO,Sales Chatime,5200500
0201,Jasmine Green Tea-(L),FIFO,Sales Chatime,5200500
0202,Jasmine Green Tea-(H),FIFO,Sales Chatime,5200500
0205,Black Tea-(L),FIFO,Sales Chatime,5200500
0208,White Grape Ice Tea-(R),FIFO,Sales Chatime,5200500
0220000040930,DOUBLEMINT RESEALABLE 25S 1PACK,FIFO,Sales Select,5200200
02339868,PBA 034,FIFO,Sales Shoc+,5200300
0253,Mango Green Tea-(R),FIFO,Sales Chatime,5200500
0254,Mango Green Tea-(L),FIFO,Sales Chatime,5200500
0256,Grapefruit Green Tea-(R),FIFO,Sales Chatime,5200500
0257,Grapefruit Green Tea-(L),FIFO,Sales Chatime,5200500
0259,Lemon Black Tea-(R),FIFO,Sales Chatime,5200500
0260,Lemon Black Tea-(L),FIFO,Sales Chatime,5200500
0267,Passion Fruit Green Tea-(R),FIFO,Sales Chatime,5200500
0268,Passion Fruit Green Tea-(L),FIFO,Sales Chatime,5200500
0275,Yogurt Black Tea-(R),FIFO,Sales Chatime,5200500
0276,Yogurt Black Tea-(L),FIFO,Sales Chatime,5200500
0278,Lychee Green Tea-(R),FIFO,Sales Chatime,5200500
0279,Lychee Green Tea-(L),FIFO,Sales Chatime,5200500
028400008617,LAYS BBQ 28.3G,FIFO,Sales Select,5200200
0284000174156,LAYS CLASSIC 184.2G,FIFO,Sales Select,5200200
028400023573,MUNCHIES,FIFO,Sales Select,5200200
028400062114,CHEETOS JALAPENO CHEDDAR 227G,FIFO,Sales Select,5200200
031146001514,NONG OOLNGMN BF 75G,FIFO,Sales Chatime,5200500
0311462636226,NONGSHIM BOWL NOODLE SOUP BEEF 86G,FIFO,Sales Select,5200200
031146270606,NONGSHIM SHIN CUP NOODLE SOUP 68G,FIFO,Sales Select,5200200
0312,WM Latte-(R),FIFO,Sales Chatime,5200500
0313,WM Latte-(L),FIFO,Sales Chatime,5200500
0315,Superior Pure Cocoa-(R),FIFO,Sales Chatime,5200500
0316,Superior Pure Cocoa-(L),FIFO,Sales Chatime,5200500
0330,Coffee MT-(R),FIFO,Sales Chatime,5200500
0331,Coffee MT-(L),FIFO,Sales Chatime,5200500
0333,Superior Pure Cocoa-(H),FIFO,Sales Chatime,5200500
0340,Yogurt Green Tea-(L),FIFO,Sales Chatime,5200500
034000000067,ICE BREAKERS MINTS SPEARMINT 42G,FIFO,Sales Select,5200200
0340001320104,HERSHEYS KISSES MILK CHOCOLATE 226 G,FIFO,Sales Select,5200200
034000212743,HERSHEY'S MINIATURES 136G,FIFO,Sales Select,5200200
034000702596,HERSHEY'S REESE'S PB 42G,FIFO,Sales Select,5200200
03400500,REESE'S NUTRAGEUOS 47G,FIFO,Sales Select,5200200
0347,Green Tea Latte-(R),FIFO,Sales Chatime,5200500
0348,Green Tea Latte-(L),FIFO,Sales Chatime,5200500
0351,Lemon Green Tea-(R),FIFO,Sales Chatime,5200500
0352,Lemon Green Tea-(L),FIFO,Sales Chatime,5200500
0360,Yogurt Green Tea-(R),FIFO,Sales Chatime,5200500
